24520992	3.1523603	101.7118992	50450 Kuala Lumpur, Malaysia
24521047	3.1509774	101.7112971	50450 Kuala Lumpur, Malaysia
24521138	3.151638	101.7066993	50250 Kuala Lumpur, Malaysia
24521192	3.152223	101.7075724	50250 Kuala Lumpur, Malaysia
24521578	3.1535685	101.7071937	50250 Kuala Lumpur, Malaysia
24521579	3.1515145	101.7098942	10 Lorong P Ramlee, 50250 Kuala Lumpur, Malaysia
24521808	3.1561957	101.720878	50250 Kuala Lumpur, Malaysia
24522088	3.1518187	101.6962805	50450 Kuala Lumpur, Malaysia
24522091	3.1521412	101.6977126	50100 Kuala Lumpur, Malaysia
24522704	3.1477448	101.6949697	Lorong Bunus Satu, 50100 Kuala Lumpur, Malaysia
24522705	3.1492975	101.6945254	50050 Kuala Lumpur, Malaysia
24577041	3.1463686	101.6990343	Jalan Persekutuan, 50050 Kuala Lumpur, Malaysia
24577042	3.1462969	101.6976773	50000 Kuala Lumpur, Malaysia
24577043	3.1466377	101.698129	39 Jalan Tun Tan Siew Sin, 50000 Kuala Lumpur, Malaysia
24577044	3.1459496	101.6970338	50000 Kuala Lumpur, Malaysia
24577045	3.1460327	101.6972068	21 Leboh Pudu, 50000 Kuala Lumpur, Malaysia
24577142	3.1466667	101.6944713	35 Leboh Pudu, 50000 Kuala Lumpur, Malaysia
24577143	3.1470461	101.6940187	50050 Kuala Lumpur, Malaysia
24577272	3.1452855	101.6986298	Jalan Sultan Hishamuddin, 50050 Kuala Lumpur, Malaysia
24577273	3.1452476	101.6979293	99 Jalan Sultan, 50000 Kuala Lumpur, Malaysia
24577274	3.1450389	101.6979753	50000 Kuala Lumpur, Malaysia
24577275	3.1447163	101.6980387	50000 Kuala Lumpur, Malaysia
24577277	3.1451375	101.6971898	50000 Kuala Lumpur, Malaysia
24577278	3.1448224	101.6972554	31 Jalan Petaling, 50000 Kuala Lumpur, Malaysia
24577279	3.14467	101.6972874	35 Jalan Petaling, 50000 Kuala Lumpur, Malaysia
24577280	3.1450295	101.6966724	Jalan Hang Lekir, 50000 Kuala Lumpur, Malaysia
24577281	3.1448362	101.6962244	148 Jalan Tun HS Lee, 50000 Kuala Lumpur, Malaysia
24577282	3.1445378	101.6957791	133 Jalan Tun HS Lee, 50000 Kuala Lumpur, Malaysia
24577283	3.1456168	101.6961597	6 Lorong Hang Lectur, 50000 Kuala Lumpur, Malaysia
24577285	3.1454963	101.6964026	34 Kasturi Walk, 50050 Kuala Lumpur, Malaysia
24577286	3.1453918	101.6962187	113 Jalan Tun HS Lee, 50050 Kuala Lumpur, Malaysia
24577287	3.1458286	101.696657	Jalan Tun Tan Cheng Lock, 50000 Kuala Lumpur, Malaysia
24577288	3.1467761	101.6960183	13 Jalan Petaling, 50000 Kuala Lumpur, Malaysia
24581640	3.1450999	101.7042716	50050 Kuala Lumpur, Malaysia
24581641	3.1447102	101.7050849	Jalan Robertson, 50150 Kuala Lumpur, Malaysia
24581711	3.1438274	101.7034895	109 Jalan Pudu, 50200 Kuala Lumpur, Malaysia
24581935	3.1458747	101.7030365	50150 Kuala Lumpur, Malaysia
24581938	3.1457681	101.7034216	95 Jalan Pudu Lama, 50200 Kuala Lumpur, Malaysia
24581941	3.14621	101.7024821	86 Jalan Pudu, 50200 Kuala Lumpur, Malaysia
24581944	3.1462127	101.7016426	79 Jalan Pudu Lama, 50200 Kuala Lumpur, Malaysia
24582196	3.1427158	101.7040054	42 Jalan Pudu, 50200 Kuala Lumpur, Malaysia
24582323	3.1437104	101.7046952	Jalan Hang Isap, 50150 Kuala Lumpur, Malaysia
24582324	3.14353	101.7050271	4 Jalan Sin Chew Kee, 50150 Kuala Lumpur, Malaysia
24582325	3.1433888	101.7052882	3 Jalan Sin Chew Kee, 50150 Kuala Lumpur, Malaysia
24582326	3.1428633	101.7050251	3 Jalan Sin Chew Kee, 50150 Kuala Lumpur, Malaysia
24582327	3.1430221	101.7048091	50150 Kuala Lumpur, Malaysia
