267197199	3.1447163	101.6980387	No type	No name	No name	No name	"created_by":"JOSM"
267197200	3.1447288	101.6985299	No type	No name	No name	No name	"created_by":"JOSM"
267197201	3.1445013	101.6985362	No type	No name	No name	No name	"created_by":"JOSM"
267197202	3.144493	101.6980826	No type	No name	No name	No name	"created_by":"JOSM"
267197210	3.1451375	101.6971898	No type	No name	No name	No name	"created_by":"JOSM"
267197211	3.1451745	101.6973916	No type	No name	No name	No name	"created_by":"JOSM"
267197212	3.1448949	101.697439	No type	No name	No name	No name	"created_by":"JOSM"
267197213	3.144865	101.6972538	No type	No name	No name	No name	"created_by":"JOSM"
267197214	3.1448224	101.6972554	No type	No name	No name	No name	"created_by":"JOSM"
267197216	3.1447262	101.6972769	No type	No name	No name	No name	"created_by":"JOSM"
267197217	3.1447525	101.6974662	No type	No name	No name	No name	"created_by":"JOSM"
267197218	3.1448541	101.6974404	No type	No name	No name	No name	"created_by":"JOSM"
267197219	3.14467	101.6972874	No type	No name	No name	No name	"created_by":"JOSM"
267197220	3.1446977	101.6974692	No type	No name	No name	No name	"created_by":"JOSM"
267197221	3.1444791	101.6975109	No type	No name	No name	No name	"created_by":"JOSM"
267197222	3.144474	101.6973192	No type	No name	No name	No name	"created_by":"JOSM"
267197250	3.1458286	101.696657	No type	No name	No name	No name	"created_by":"JOSM"
267197252	3.1454219	101.6972565	No type	No name	No name	No name	"created_by":"JOSM"
267235074	3.1448153	101.7049096	No type	No name	No name	No name	"created_by":"JOSM"
267235078	3.144505	101.7047356	No type	No name	No name	No name	"created_by":"JOSM"
267235081	3.1443823	101.7049583	No type	No name	No name	No name	"created_by":"JOSM"
267235136	3.1444348	101.7053205	No type	No name	No name	No name	"created_by":"JOSM"
267238547	3.1457681	101.7034216	No type	No name	No name	No name	"created_by":"JOSM"
267238550	3.1455941	101.7033995	No type	No name	No name	No name	"created_by":"JOSM"
267238554	3.1455567	101.7033377	No type	No name	No name	No name	"created_by":"JOSM"
